"I.P01" "I.P07" "I.P11" "I.S07" "I.S29" "I.S34" "I.W31" "I.W32" "I.W33" "S.P03" "S.P09" "S.P12" "S.S05" "S.S08" "S.S32" "S.W20" "S.W36" "S.W37"
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus.Bacillus sp. RC" 2 0 0 0 4 0 0 1 0 0 0 0 0 0 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Paenibacillaceae.Brevibacillus.Brevibacillus sp. VP" 2 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiales Family XVII. Incertae Sedis.Thermaerobacter.Thermaerobacter sp. PB12/4term" 2 0 0 0 2 2 0 0 1 1 1 1 2 0 0 0 0 2
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.NA.Lachnospiraceae bacterium AM23-2LB" 2 4 4 11 8 1 9 4 16 8 0 3 16 5 1 1 4 1
"Bacteria.Firmicutes.Erysipelotrichia.Erysipelotrichales.Erysipelotrichaceae.NA.Erysipelotrichaceae bacterium AM07-35-1" 2 0 0 2 0 6 0 3 7 3 0 3 2 3 3 4 0 0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.Lactobacillus sp. 244-4" 2 0 0 1 0 8 1 1 1 1 3 1 7 0 0 2 0 1
"Bacteria.Firmicutes.Negativicutes.Veillonellales.Veillonellaceae.Veillonella.Veillonella sp. 3891" 2 0 0 15 0 4 16 0 2 0 17 0 3 1 2 0 1 1
"Bacteria.Firmicutes.Negativicutes.Veillonellales.Veillonellaceae.Veillonella.Veillonella sp. 3310" 2 0 0 0 2 1 1 4 1 0 2 0 5 47 0 0 1 3
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Lentibacillus.Lentibacillus sp. SSKP1-9" 2 13 0 12 0 2 0 5 5 29 2 8 8 0 3 0 2 1
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Enterococcaceae.Enterococcus.Enterococcus sp. BSD2780061688st2 D3" 2 23 4 5 0 0 6 0 9 2 2 3 4 2 1 0 7 2
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.Lactobacillus sp. 203-3" 2 6 4 1 6 2 6 5 2 0 0 2 7 1 1 0 2 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Lentibacillus.Lentibacillus sp. NKC220-2" 2 35 76 188 3 0 0 0 0 5 0 0 1 0 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Carnobacteriaceae.Trichococcus.Trichococcus sp. SKBG" 2 4 77 26 11 30 0 4 2 11 26 3 9 58 217 2 4 3
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Alteribacillus.Alteribacillus sp. YIM 98480" 2 9 3 6 3 2 27 38 15 5 5 17 7 2 7 8 26 15
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus.Bacillus sp. CX253" 2 3 8 9 8 8 0 6 6 3 7 1 13 6 1 0 3 3
"Bacteria.Firmicutes.Erysipelotrichia.Erysipelotrichales.Erysipelotrichaceae.Erysipelothrix.Erysipelothrix sp. 181008240" 2 1 0 4 2 1 1 2 2 1 1 1 10 0 1 0 6 1
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus.Bacillus sp. KH172YL63" 2 1 1 3 2 13 1 5 2 0 2 3 4 0 4 1 3 0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Clostridium.Clostridium sp. M14" 2 3 3 14 10 5 4 5 2 7 6 15 28 5 76 0 0 3
"Bacteria.Firmicutes.Bacilli.Bacillales.Staphylococcaceae.Staphylococcus.Staphylococcus carnosus" 1 2 1 2 6 0 4 0 0 0 1 13 2 0 0 0 0 3
"Bacteria.Firmicutes.Bacilli.Bacillales.Staphylococcaceae.Staphylococcus.Staphylococcus haemolyticus" 1 2 6 7 4 5 3 3 2 12 1 8 0 0 4 0 1 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Staphylococcaceae.Staphylococcus.Staphylococcus intermedius" 1 7 0 1 0 3 0 1 0 0 0 9 6 27 1 0 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Staphylococcaceae.Staphylococcus.Staphylococcus gallinarum" 1 3 1 7 1 3 2 3 15 0 2 8 9 2 0 1 3 0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.Lactobacillus fructivorans" 1 5 0 3 11 3 3 1 0 1 4 2 4 1 1 1 0 0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.Lactobacillus vaginalis" 1 2 0 72 1 5 0 2 0 1 66 0 189 15 3 0 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus.Bacillus sp. PS3" 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Staphylococcaceae.Staphylococcus.Staphylococcus arlettae" 1 0 0 0 0 2 0 5 0 3 0 2 1 0 1 1 1 4
"Bacteria.Firmicutes.Bacilli.Bacillales.Staphylococcaceae.Staphylococcus.Staphylococcus saccharolyticus" 1 1 4 20 1 2 1 1 8 2 0 4 12 0 0 0 0 9
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Geobacillus.Geobacillus thermoleovorans" 1 46 60 47 197 10 3 0 3 14 0 1 6 12 48 1 8 6
"Bacteria.Firmicutes.Bacilli.Bacillales.Thermoactinomycetaceae.Laceyella.Laceyella sacchari" 1 1 0 1 2 2 0 0 0 0 0 3 3 0 0 0 0 0
"Bacteria.Firmicutes.Clostridia.Thermoanaerobacterales.Thermoanaerobacteraceae.Thermoanaerobacter.Thermoanaerobacter wiegelii" 1 9 19 15 9 11 0 3 3 1 19 6 6 19 79 0 2 0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.Lactobacillus lindneri" 1 1 0 2 5 6 1 0 0 1 11 6 19 2 1 0 2 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Staphylococcaceae.Staphylococcus.Staphylococcus succinus" 1 3 3 13 68 2 5 8 9 4 7 2 10 2 0 18 9 2
"Bacteria.Firmicutes.Bacilli.Bacillales.Staphylococcaceae.Macrococcus.Macrococcus bovicus" 1 0 1 3 2 22 0 7 1 4 2 1 2 2 2 0 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Paenibacillaceae.Paenibacillus.Paenibacillus vortex" 1 0 1 1 6 261 5 13 5 6 0 1 1 1 31 0 6 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus.Bacillus mojavensis" 1 2 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus.Bacillus siralis" 1 2 3 8 2 1 1 2 1 32 1 2 4 2 0 1 5 2
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Syntrophococcus.Syntrophococcus sucromutans" 1 3 0 5 0 0 1 1 3 1 0 7 8 2 0 0 0 1
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Leuconostocaceae.Weissella.Weissella thailandensis" 1 1 0 5 1 1 1 0 0 0 1 0 4 0 0 0 7 0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Enterococcaceae.Enterococcus.Enterococcus rotai" 1 2 1 2 14 1 2 3 1 1 2 6 11 1 4 2 0 2
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus.Bacillus sonorensis" 1 3 5 10 2 0 0 1 1 22 2 2 6 0 0 0 1 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Staphylococcaceae.Staphylococcus.Staphylococcus fleurettii" 1 0 4 1 0 10 0 0 3 0 0 2 2 0 0 0 2 0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Carnobacteriaceae.Carnobacterium.Carnobacterium viridans" 1 0 1 2 20 2 1 0 1 1 3 17 2 1 0 0 5 0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiales Family XVI. Incertae Sedis.Carboxydocella.Carboxydocella thermautotrophica" 1 3 1 2 2 3 0 0 0 2 1 0 2 2 2 0 0 1
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Anoxybacillus.Anoxybacillus kamchatkensis" 1 0 1 1 0 0 0 0 0 1 0 1 6 0 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.NA.Exiguobacterium.uncultured Exiguobacterium sp." 1 1 0 0 2 2 5 0 0 0 0 0 2 0 0 0 0 0
"Bacteria.Firmicutes.Clostridia.Thermoanaerobacterales.Thermoanaerobacterales Family III. Incertae Sedis.Thermoanaerobacterium.uncultured Thermoanaerobacterium sp." 1 0 0 2 0 0 1 1 0 9 0 0 1 1 0 0 1 0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus.Streptococcus castoreus" 1 14 5 3 2 0 0 4 5 3 1 3 10 2 2 2 1 7
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus.Bacillus sp. SA-B2" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Paenibacillaceae.Brevibacillus.Brevibacillus sp. WF146" 1 0 3 1 0 0 1 0 1 1 0 0 3 0 1 2 0 0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Pediococcus.Pediococcus ethanolidurans" 1 2 1 3 3 3 0 2 3 4 0 0 1 3 1 0 0 1
"Bacteria.Firmicutes.Bacilli.Bacillales.NA.Exiguobacterium.Exiguobacterium sibiricum" 1 4 3 2 4 1 0 0 1 12 1 1 13 3 3 0 4 0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiales Family XVII. Incertae Sedis.Sulfobacillus.Sulfobacillus thermotolerans" 1 0 0 0 0 0 0 2 1 0 0 0 1 0 0 2 1 3
"Bacteria.Firmicutes.Bacilli.Bacillales.Staphylococcaceae.Salinicoccus.Salinicoccus luteus" 1 3 2 38 10 5 40 4 58 0 8 9 12 10 0 0 7 19
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus.Bacillus sp. B14905" 1 0 0 0 0 0 0 0 0 0 0 0 9 0 0 1 0 0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.Lactobacillus crustorum" 1 0 4 2 1 3 4 4 4 3 1 2 3 4 0 0 1 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Gracilibacillus.Gracilibacillus lacisalsi" 1 2 3 9 4 1 1 1 0 1 1 1 4 0 3 0 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Virgibacillus.Virgibacillus chiguensis" 1 0 0 11 1 5 1 22 13 9 13 4 4 24 7 7 4 2
"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Clostridium.Clostridium sp. 7_2_43FAA" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.Lactobacillus nodensis" 1 7 2 3 17 4 4 4 2 8 5 13 7 3 3 0 6 1
"Bacteria.Firmicutes.Erysipelotrichia.Erysipelotrichales.Erysipelotrichaceae.Coprobacillus.Coprobacillus sp. 8_2_54BFAA" 1 9 0 1 3 2 0 0 7 2 1 3 2 6 1 5 1 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Geobacillus.Geobacillus sp. WCH70" 1 1 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus.Bacillus marmarensis" 1 4 0 6 2 0 5 11 1 2 1 1 0 0 1 3 8 3
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Virgibacillus.Virgibacillus salinus" 1 11 0 0 0 0 5 1 2 4 6 0 8 1 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus.Streptococcus sp. M334" 1 0 1 0 0 0 0 1 0 1 0 6 49 0 0 1 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Staphylococcaceae.Jeotgalicoccus.Jeotgalicoccus nanhaiensis" 1 0 0 13 0 0 1 0 1 0 0 10 112 1 0 4 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Thermoactinomycetaceae.Laceyella.Laceyella sediminis" 1 2 3 2 1 0 0 0 0 0 2 0 2 1 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Oceanobacillus.Oceanobacillus manasiensis" 1 1 0 4 2 3 1 1 1 1 0 3 5 2 0 0 1 0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Anaerostipes.Anaerostipes butyraticus" 1 0 1 6 0 2 1 2 1 0 5 5 1 0 1 0 0 5
"Bacteria.Firmicutes.Bacilli.Bacillales.Paenibacillaceae.Paenibacillus.Paenibacillus sp. IHB B 3084" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"Bacteria.Firmicutes.Erysipelotrichia.Erysipelotrichales.Erysipelotrichaceae.Turicibacter.Turicibacter sp. HGF1" 1 197 2 12 2 0 3 1 2 3 6 12 15 2 7 0 4 0
"Bacteria.Firmicutes.Clostridia.Clostridiales.NA.NA.Clostridiales bacterium CoAT_53-4c" 1 1 1 1 0 1 2 0 1 0 0 3 1 0 0 0 0 2
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus.Bacillus sp. 1310(2010)" 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus.Bacillus sp. NEBM184" 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus.Streptococcus sp. AS14" 1 2 2 0 9 0 0 6 0 0 2 0 0 2 0 0 1 2
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus.Streptococcus sp. OBRC6" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Thermoactinomycetaceae.Desmospora.Desmospora sp. 8437" 1 0 0 0 0 1 0 0 0 0 0 0 4 0 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus.Streptococcus sp. F0441" 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bacteria.Firmicutes.Negativicutes.Veillonellales.Veillonellaceae.Megasphaera.Megasphaera sp. UPII 135-E" 1 6 1 44 3 10 6 6 4 9 7 6 17 5 10 0 3 6
"Bacteria.Firmicutes.Bacilli.Bacillales.Planococcaceae.Kurthia.Kurthia sp. Dielmo" 1 7 0 14 2 0 0 0 1 3 21 1 156 11 10 0 17 5
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus.Bacillus sp. NSP9.1" 1 0 0 2 0 0 0 0 0 0 1 0 0 2 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.Lactobacillus heilongjiangensis" 1 3 3 2 1 0 0 1 0 1 0 1 2 5 8 0 2 1
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus.Bacillus sp. 123MFChir2" 1 1 0 0 0 0 0 1 2 0 1 0 10 0 0 2 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Planococcaceae.Planococcus.Planococcus halocryophilus" 1 0 28 11 211 0 0 1 1 1 0 0 1 1 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.Lactobacillus apinorum" 1 6 0 1 0 2 1 0 1 0 1 12 8 9 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.Lactobacillus kimbladii" 1 1 1 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0
"Bacteria.Firmicutes.Clostridia.Thermoanaerobacterales.Thermoanaerobacterales Family III. Incertae Sedis.Caldicellulosiruptor.Caldicellulosiruptor changbaiensis" 1 22 2 3 5 28 4 2 0 2 0 4 7 2 39 0 3 1
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Thalassobacillus.Thalassobacillus sp. C254" 1 1 0 1 0 0 0 0 1 1 0 1 0 0 0 2 2 0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Leuconostocaceae.Oenococcus.uncultured Oenococcus sp." 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Paenibacillaceae.Paenibacillus.Paenibacillus sp. FSL H7-689" 1 0 0 1 0 0 0 0 0 0 1 0 4 0 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Staphylococcaceae.Nosocomiicoccus.Nosocomiicoccus massiliensis" 1 15 1 6 43 24 3 43 6 2 0 7 3 0 12 1 1 1
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus.Streptococcus rubneri" 1 39 1 69 2 0 1 4 3 1 61 5 14 1 1 0 1 5
"Bacteria.Firmicutes.Bacilli.Bacillales.NA.Exiguobacterium.Exiguobacterium sp. OS-77" 1 1 0 7 12 0 0 0 0 2 1 3 4 0 3 0 0 23
"Bacteria.Firmicutes.Erysipelotrichia.Erysipelotrichales.Erysipelotrichaceae.Coprobacillus.Coprobacillus sp. CAG:183" 1 19 51 86 53 17 1 2 276 2 38 37 22 35 93 5 4 63
"Bacteria.Firmicutes.Erysipelotrichia.Erysipelotrichales.Erysipelotrichaceae.NA.Erysipelotrichaceae bacterium CAG:64" 1 2 0 1 0 0 5 27 11 2 0 0 20 0 2 314 134 0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Eubacteriaceae.Eubacterium.Eubacterium hallii CAG:12" 1 1 6 1 0 2 5 0 3 2 5 1 6 1 1 3 3 1
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.Lactobacillus amylovorus CAG:719" 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bacteria.Firmicutes.Negativicutes.Veillonellales.Veillonellaceae.Megasphaera.Megasphaera sp. NM10" 1 2 1 9 0 1 3 0 0 0 0 0 1 0 1 0 1 5
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Parageobacillus.Parageobacillus genomosp. 1" 1 1 4 7 3 2 3 1 0 4 2 3 11 6 7 1 1 3
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus.Streptococcus sp. HSISB1" 1 0 0 0 1 1 0 0 0 0 0 4 1 0 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus.Streptococcus sp. HSISS2" 1 0 1 1 1 2 1 5 1 2 0 3 2 2 0 0 2 1
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Anoxybacillus.Anoxybacillus suryakundensis" 1 2 0 1 0 1 2 0 0 1 0 0 3 5 1 0 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus.Bacillus sp. RP1137" 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus.Bacillus sp. SJS" 1 1 5 12 38 2 10 7 0 6 7 5 13 7 3 4 5 12
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.Lactobacillus mixtipabuli" 1 4 0 1 7 6 5 4 14 1 2 11 12 3 9 0 4 4
"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Clostridium.Clostridium sp. K25" 1 0 0 0 0 5 0 0 0 0 4 3 10 0 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus.Bacillus sp. JCM 19045" 1 0 2 2 0 0 1 1 1 0 2 2 1 0 0 0 1 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus.Bacillus sp. JCM 19047" 1 1 0 0 1 0 0 1 0 0 0 0 2 0 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.NA.Exiguobacterium.Exiguobacterium sp. RIT341" 1 0 0 0 1 74 2 3 4 0 0 2 1 0 17 0 1 0
"Bacteria.Firmicutes.Bacilli.Bacillales.NA.Exiguobacterium.Exiguobacterium sp. AB2" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.Lactobacillus sp. wkB8" 1 0 1 0 0 0 0 0 0 0 0 0 1 1 2 0 0 0
"Bacteria.Firmicutes.NA.NA.NA.NA.Firmicutes bacterium enrichment culture clone fosmid MGS-M1" 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Paenibacillaceae.Paenibacillus.Paenibacillus sp. 276b" 1 0 0 12 1 3 0 0 0 11 0 1 0 0 0 0 0 1
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus.Bacillus sp. AN2" 1 0 0 0 4 2 0 0 0 3 1 0 0 1 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus.Bacillus sp. 522_BSPC" 1 0 4 2 4 1 18 18 0 2 1 3 8 2 3 1 4 6
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus.Streptococcus azizii" 1 0 0 0 0 0 4 1 0 1 0 0 4 0 0 0 1 2
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus.Bacillus sp. FJAT-21351" 1 1 0 6 31 0 0 0 8 1 0 0 2 1 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus.Bacillus sp. FJAT-21945" 1 0 0 2 0 0 1 0 0 0 5 3 7 1 3 2 0 0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Aerococcaceae.Abiotrophia.Abiotrophia sp. HMSC24B09" 1 0 1 3 1 1 1 0 4 0 1 2 0 1 0 0 3 0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Carnobacteriaceae.Granulicatella.Granulicatella sp. HMSC31F03" 1 0 1 1 1 0 5 0 1 1 1 0 1 0 3 0 0 0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.Lactobacillus sp. HMSC08B12" 1 0 0 1 2 0 0 0 0 0 0 0 1 1 0 0 2 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Planococcaceae.Sporosarcina.Sporosarcina sp. ZBG7A" 1 1 1 2 0 0 2 0 2 0 1 1 2 0 0 0 1 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus.Bacillus sp. REN51N" 1 10 0 5 1 7 0 7 5 0 6 19 8 4 0 0 5 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Paenibacillaceae.Paenibacillus.Paenibacillus herberti" 1 1 0 6 2 4 2 6 1 3 2 11 4 8 2 0 3 1
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Geobacillus.Geobacillus sp. 12AMOR1" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Anoxybacillus.Anoxybacillus sp. PDR2" 1 0 0 0 2 0 0 0 9 0 0 0 4 0 2 0 0 0
"Bacteria.Firmicutes.Tissierellia.Tissierellales.Peptoniphilaceae.Peptoniphilus.Peptoniphilus lacydonensis" 1 0 1 1 5 0 1 0 0 0 1 1 2 1 0 0 3 1
"Bacteria.Firmicutes.Bacilli.Bacillales.Paenibacillaceae.Paenibacillus.Paenibacillus sp. EKM212P" 1 0 2 0 43 0 0 0 1 1 0 0 26 3 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Lysinibacillus.Lysinibacillus sp. F5" 1 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus.Bacillus sp. G3(2015)" 1 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 10 0
"Bacteria.Firmicutes.Erysipelotrichia.Erysipelotrichales.Erysipelotrichaceae.Turicibacter.Turicibacter sp. H121" 1 6 2 1 1 0 0 1 1 1 32 0 47 1 3 0 0 0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus.Streptococcus sp. HMSC057G03" 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Enterococcaceae.Enterococcus.Enterococcus sp. HMSC072F02" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.NA.Exiguobacterium.Exiguobacterium sp. Leaf196" 1 0 4 6 1 0 0 0 0 0 5 1 3 1 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Paenibacillaceae.Paenibacillus.Paenibacillus sp. Soil724D2" 1 0 0 0 0 2 0 0 0 0 0 0 1 0 1 0 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus.Bacillus sp. Soil768D1" 1 6 0 0 2 1 0 0 1 0 0 0 1 0 5 1 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus.Bacillus sp. Root239" 1 1 0 0 0 1 0 0 0 0 1 0 16 1 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Aerococcaceae.Facklamia.Facklamia sp. HMSC062C11" 1 1 0 2 0 1 0 0 0 2 0 7 3 1 7 0 0 1
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus.Streptococcus sp. HMSC061D01" 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Staphylococcaceae.Nosocomiicoccus.Nosocomiicoccus sp. HMSC067E10" 1 0 5 5 6 0 3 2 0 0 10 2 1 5 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus.Streptococcus sp. HMSC077F03" 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus.Streptococcus sp. HMSC072D03" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus.Streptococcus sp. HMSC072C09" 1 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Enterococcaceae.Enterococcus.Enterococcus sp. HMSC063C12" 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Staphylococcaceae.Nosocomiicoccus.Nosocomiicoccus sp. HMSC059G07" 1 0 0 1 1 0 3 0 4 0 1 2 6 0 0 0 0 0
"Bacteria.Firmicutes.Tissierellia.Tissierellales.Peptoniphilaceae.Anaerococcus.Anaerococcus sp. HMSC075B03" 1 2 1 1 1 3 1 12 2 5 1 8 26 3 3 0 0 2
