"","I.S07","I.S29","I.S34","S.S05","S.S08","S.S32"
"Bacteria*Firmicutes*Negativicutes*Veillonellales*Veillonellaceae*Megasphaera*Megasphaera sp. DISK 18",24,30,17,63,14,6
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus sinopodophylli",128,42,45,61,44,72
"Bacteria*Firmicutes*NA*NA*NA*NA*Firmicutes bacterium HGW-Firmicutes-3",41,152,168,96,34,111
"Bacteria*Firmicutes*Negativicutes*Veillonellales*Veillonellaceae*Veillonella*Veillonella sp. R32",58,39,49,85,16,79
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Blautia*Blautia sp. AM29-29",61,63,47,340,22,18
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Clostridium*Clostridium sp. AF21-20LB",110,60,25,95,59,25
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Ruminococcus*Ruminococcus sp. OM07-17",6,420,20,42,3,3
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Bacillus*Bacillus sp. HMF5848",47,45,27,97,28,17
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus protaetiae",117,58,59,96,19,22
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Clostridium*Clostridium acetobutylicum",36,23,63,13,24,46
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Bacillus*Bacillus nealsonii",20,35,51,39,17,89
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus kribbensis",22,18,19,32,7,11
"Bacteria*Firmicutes*Clostridia*Clostridiales*Peptococcaceae*Desulfurispora*Desulfurispora thermophila",58,91,76,70,18,24
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus sp. P22",62,132,20,119,28,36
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Salipaludibacillus*Salipaludibacillus neizhouensis",31,156,39,60,9,29
"Bacteria*Firmicutes*Negativicutes*Selenomonadales*Selenomonadaceae*Selenomonas*Selenomonas sp. FOBRC9",18,127,98,87,37,20
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Clostridium*Clostridium sp. CAG:245",303,78,12,414,42,10
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Alkaliphilus*Alkaliphilus sp. LacV",103,36,141,300,46,90
"Bacteria*Firmicutes*Limnochordia*Limnochordales*Limnochordaceae*Limnochorda*Limnochorda pilosa",39,46,46,44,33,40
"Bacteria*Firmicutes*Erysipelotrichia*Erysipelotrichales*Erysipelotrichaceae*Absiella*Absiella argi",49,39,30,45,21,22
"Bacteria*Firmicutes*NA*NA*NA*NA*Firmicutes bacterium HGW-Firmicutes-8",88,67,100,134,29,88
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*NA*Lachnospiraceae bacterium Choco86",57,94,41,78,88,212
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Ruminococcus*Ruminococcus sp. AF24-32LB",46,338,51,43,118,29
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Butyricicoccus*Butyricicoccus sp. OF10-2",12,45,91,58,22,78
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Clostridium*Clostridium sp. AM42-36",216,182,886,1260,81,249
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Clostridium*Clostridium sp. OM04-7",138,89,63,80,15,64
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus sp. SYSU G01003",41,72,10,45,43,23
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus*Lactobacillus sakei",88,130,37,126,18,31
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Leuconostocaceae*Weissella*Weissella minor",27,7,3,21,1,2
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus*Lactobacillus panis",62,31,19,74,23,63
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus agaridevorans",41,120,11,63,23,17
"Bacteria*Firmicutes*Clostridia*Clostridiales*Caldicoprobacteraceae*Caldicoprobacter*Caldicoprobacter oshimai",171,123,86,180,24,53
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Bacillus*Bacillus sp. C11",9,55,13,63,26,4
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus senegalensis",174,37,42,237,14,42
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus*Lactobacillus sp. YK43",56,19,21,150,15,43
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Blautia*Blautia sp. TM10-2",115,73,57,358,66,15
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus lutimineralis",28,55,48,91,21,31
"Bacteria*Firmicutes*Clostridia*Halanaerobiales*Halanaerobiaceae*Halothermothrix*Halothermothrix orenii",64,66,30,110,40,24
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Enterococcaceae*Enterococcus*Enterococcus durans",116,32,61,146,18,75
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Enterococcaceae*Vagococcus*Vagococcus fessus",32,11,55,261,27,25
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus hemerocallicola",32,35,30,50,14,13
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Ruminococcus*Ruminococcus sp. CAG:108",191,184,54,389,22,19
"Bacteria*Firmicutes*NA*NA*NA*NA*Firmicutes bacterium CAG:212",32,71,12,41,14,16
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus sp. 32O-W",76,117,29,77,24,10
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Sediminibacillus*Sediminibacillus massiliensis",17,96,21,373,78,36
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus*Lactobacillus porci",46,41,44,64,17,14
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*NA*Lachnospiraceae bacterium AM26-1LB",123,61,53,58,36,56
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Ruminococcus*Ruminococcus sp. OM02-16LB",67,266,42,64,125,86
"Bacteria*Firmicutes*Tissierellia*Tissierellales*Peptoniphilaceae*Anaerococcus*Anaerococcus lactolyticus",110,56,199,139,46,40
"Bacteria*Firmicutes*Bacilli*Bacillales*Planococcaceae*Caryophanon*Caryophanon latum",18,5,12,30,5,59
"Bacteria*Firmicutes*Bacilli*Bacillales*Planococcaceae*Ureibacillus*Ureibacillus thermosphaericus",95,29,79,53,17,57
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus*Lactobacillus jensenii",48,67,27,175,14,47
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus terrae",105,48,49,87,23,20
"Bacteria*Firmicutes*Clostridia*Thermoanaerobacterales*Thermoanaerobacteraceae*Fervidicola*Fervidicola ferrireducens",28,14,54,54,7,12
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Enterococcaceae*Enterococcus*Enterococcus rivorum",92,20,18,57,16,7
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus sp. URHA0014",13,31,20,39,7,2
"Bacteria*Firmicutes*Tissierellia*Tissierellales*Peptoniphilaceae*Peptoniphilus*Peptoniphilus grossensis",107,74,48,59,19,19
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Bacillus*Bacillus kwashiorkori",66,39,31,60,19,25
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus sp. MEC069",88,21,109,80,16,123
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus sp. JC52",86,91,45,80,38,24
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Ruminococcus*Ruminococcus sp. TF08-4",49,106,22,320,31,21
"Bacteria*Firmicutes*Bacilli*Bacillales*NA*Gemella*Gemella sp. WT2a",34,144,26,77,31,23
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus sp. USDA918EY",52,159,46,403,32,60
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae*Streptococcus*Streptococcus uberis",80,93,31,68,41,83
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Clostridium*Clostridium chauvoei",79,108,481,86,30,106
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus*Lactobacillus paraplantarum",102,53,3,68,35,126
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus*Lactobacillus nagelii",29,16,26,32,42,7
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Carnobacteriaceae*Carnobacterium*Carnobacterium inhibens",22,58,29,32,7,3
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Caldalkalibacillus*Caldalkalibacillus thermarum",129,108,67,73,40,54
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Halolactibacillus*Halolactibacillus miurensis",121,26,22,255,17,52
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus*Lactobacillus aquaticus",40,13,37,92,10,49
"Bacteria*Firmicutes*Clostridia*Clostridiales*Peptococcaceae*Dehalobacter*Dehalobacter sp. UNSWDHB",36,20,22,129,79,44
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Haloimpatiens*Haloimpatiens massiliensis",93,350,159,122,29,68
"Bacteria*Firmicutes*Clostridia*Clostridiales*Peptococcaceae*Pelotomaculum*Pelotomaculum sp. PtaU1.Bin065",14,18,30,60,48,78
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Blautia*Blautia sp. BCRC 81119",133,210,39,138,130,37
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Ruminococcus*Ruminococcus sp. AM32-17LB",43,70,9,31,97,8
"Bacteria*Firmicutes*Clostridia*Clostridiales*Syntrophomonadaceae*Candidatus Syntrophocurvum*Candidatus Syntrophocurvum alkaliphilum",87,61,30,71,37,32
"Bacteria*Firmicutes*Clostridia*Clostridiales*Peptococcaceae*Desulfotomaculum*Desulfotomaculum putei",54,43,25,72,14,22
"Bacteria*Firmicutes*Tissierellia*Tissierellales*Peptoniphilaceae*Helcococcus*Helcococcus sueciensis",74,105,57,78,54,67
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae*Streptococcus*Streptococcus caballi",42,22,45,57,46,20
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus xylaniclasticus",165,48,50,91,115,423
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Fontibacillus*Fontibacillus panacisegetis",64,103,107,93,32,28
"Bacteria*Firmicutes*Negativicutes*Veillonellales*Veillonellaceae*Veillonella*Veillonella tobetsuensis",35,27,36,44,86,265
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Bacillus*Bacillus sp. SA1-12",45,106,46,40,91,277
"Bacteria*Firmicutes*Tissierellia*Tissierellales*Peptoniphilaceae*Peptoniphilus*Peptoniphilus senegalensis",44,52,55,49,15,31
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus phocaensis",53,48,35,84,12,5
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Ruminococcus*Ruminococcus sp. AM23-1LB",88,42,8,54,39,6
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Ruminococcus*Ruminococcus sp. OF02-6",114,431,162,128,86,159
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Tindallia*Tindallia sp. MSAO_Bac2",88,62,80,79,38,73
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Cohnella*Cohnella candidum",41,78,40,77,67,85
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus sp. MMS18-CY102",15,12,17,69,17,45
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae*Streptococcus*Streptococcus alactolyticus",131,137,6,184,53,64
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Aerococcaceae*Facklamia*Facklamia tabacinasalis",29,106,17,260,31,14
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Enterococcaceae*Enterococcus*Enterococcus canis",50,94,36,59,21,48
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Bacillus*Bacillus bataviensis",35,95,336,63,55,11
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Bacillus*Bacillus korlensis",13,37,30,66,9,8
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Enterococcaceae*Bavariicoccus*Bavariicoccus seileri",50,60,21,62,23,39
"Bacteria*Firmicutes*Clostridia*Thermoanaerobacterales*Thermoanaerobacteraceae*Moorella*Moorella humiferrea",66,55,64,69,79,284
"Bacteria*Firmicutes*Negativicutes*Veillonellales*Veillonellaceae*NA*Veillonellaceae bacterium DNF00626",43,89,42,67,75,58
"Bacteria*Firmicutes*Tissierellia*Tissierellales*Peptoniphilaceae*Parvimonas*Parvimonas sp. KA00067",37,118,87,175,23,12
"Bacteria*Firmicutes*Clostridia*Clostridiales*Peptostreptococcaceae*Paraclostridium*Paraclostridium benzoelyticum",45,33,317,44,13,57
"Bacteria*Firmicutes*Tissierellia*NA*NA*Kallipyga*Kallipyga gabonensis",154,93,78,130,39,31
"Bacteria*Firmicutes*Clostridia*Clostridiales*Peptococcaceae*Desulfocucumis*Desulfocucumis palustris",103,44,25,93,45,52
"Bacteria*Firmicutes*Bacilli*Bacillales*Thermoactinomycetaceae*Thermoflavimicrobium*Thermoflavimicrobium sp. FBKL4.011",18,27,73,116,13,31
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Ruminococcus*Ruminococcus sp. OM05-7",81,36,26,89,11,34
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus sp. T1",61,46,45,71,19,35
"Bacteria*Firmicutes*Clostridia*Clostridiales*Peptostreptococcaceae*Acetoanaerobium*Acetoanaerobium sticklandii",79,56,63,90,32,104
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus illinoisensis",40,21,2,8,8,10
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae*Streptococcus*Streptococcus pasteurianus",45,9,23,32,18,28
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus massiliensis",15,28,29,53,3,25
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus sp. JDR-2",102,89,54,54,12,68
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Ruminococcus*Ruminococcus sp. SR1/5",38,110,39,57,563,13
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Carnobacteriaceae*Jeotgalibaca*Jeotgalibaca dankookensis",46,47,46,98,26,58
"Bacteria*Firmicutes*Clostridia*Clostridiales*Eubacteriaceae*Eubacterium*Eubacterium sp. CAG:146",64,26,56,138,18,17
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus sp. FSL R7-0273",66,117,18,39,28,5
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Gracilibacillus*Gracilibacillus phocaeensis",16,50,8,32,2,6
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Roseburia*Roseburia sp. AF12-17LB",54,53,6,131,5,21
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Roseburia*Roseburia sp. AF25-13LB",50,39,58,49,27,43
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Ruminococcus*Ruminococcus sp. AF43-11",334,43,30,188,26,225
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae*Lactococcus*Lactococcus sp. S-13",18,39,5,49,18,15
"Bacteria*Firmicutes*Erysipelotrichia*Erysipelotrichales*Erysipelotrichaceae*Erysipelothrix*Erysipelothrix sp. HDW6A",118,55,22,108,33,29
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Pediococcus*Pediococcus pentosaceus",24,90,9,99,30,13
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae*Streptococcus*Streptococcus anginosus",100,136,41,117,15,51
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Clostridium*Clostridium aurantibutyricum",70,73,43,80,17,7
"Bacteria*Firmicutes*Clostridia*Thermoanaerobacterales*Thermoanaerobacteraceae*Thermoanaerobacter*Thermoanaerobacter kivui",73,36,55,109,22,50
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus chibensis",61,75,25,53,4,19
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus*Lactobacillus saerimneri",96,86,37,148,17,46
"Bacteria*Firmicutes*Negativicutes*Selenomonadales*Sporomusaceae*Thermosinus*Thermosinus carboxydivorans",70,93,131,79,20,71
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Gracilibacillus*Gracilibacillus boraciitolerans",62,74,17,38,40,41
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Clostridium*Clostridium drakei",42,61,313,73,35,200
"Bacteria*Firmicutes*Negativicutes*Selenomonadales*Selenomonadaceae*Megamonas*Megamonas rupellensis",66,70,131,42,5,26
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Amphibacillus*Amphibacillus marinus",67,152,30,92,26,24
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus sp. GP183",26,27,205,60,8,19
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Salibacterium*Salibacterium halotolerans",26,7,19,8,2,22
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Aerococcaceae*Suicoccus*Suicoccus acidiformans",30,33,35,67,11,40
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Butyricicoccus*Butyricicoccus sp. AF24-19AC",40,61,24,116,22,10
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Butyricicoccus*Butyricicoccus sp. AM29-23AC",10,1,37,53,13,21
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Cohnella*Cohnella sp. K2E09-144",51,143,50,98,15,22
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus*Lactobacillus sp. 247-4",90,67,60,136,101,316
"Bacteria*Firmicutes*Tissierellia*Tissierellales*Peptoniphilaceae*Anaerococcus*Anaerococcus tetradius",92,24,131,115,16,34
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus*Lactobacillus rennini",27,46,27,167,20,27
"Bacteria*Firmicutes*Bacilli*Bacillales*Sporolactobacillaceae*Scopulibacillus*Scopulibacillus darangshiensis",48,30,24,16,26,38
"Bacteria*Firmicutes*Clostridia*Clostridiales*Peptococcaceae*Desulfosporosinus*Desulfosporosinus hippei",45,26,32,75,20,27
"Bacteria*Firmicutes*Negativicutes*Veillonellales*Veillonellaceae*Veillonella*Veillonella sp. oral taxon 158",11,11,2,25,5,6
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus jilunlii",103,48,25,45,10,12
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Paucisalibacillus*Paucisalibacillus sp. EB02",36,20,13,14,8,4
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Carnobacteriaceae*Jeotgalibaca*Jeotgalibaca arthritidis",25,38,36,32,7,54
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Bacillus*Bacillus sp. V3-13",8,16,108,39,4,35
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Pradoshia*Pradoshia eiseniae",32,43,39,44,25,308
"Bacteria*Firmicutes*Clostridia*Clostridiales*Eubacteriaceae*Eubacterium*Eubacterium sp. am_0171",16,30,49,76,3,6
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Aquibacillus*Aquibacillus sp. BH258",25,54,9,20,39,23
"Bacteria*Firmicutes*Erysipelotrichia*Erysipelotrichales*Erysipelotrichaceae*Erysipelothrix*Erysipelothrix sp. 165301687",72,96,15,184,24,21
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus sp. YIM B00363",39,39,70,63,45,44
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Aerococcaceae*Facklamia*Facklamia languida",56,261,271,56,44,32
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae*Streptococcus*Streptococcus orisratti",26,43,40,80,27,12
"Bacteria*Firmicutes*Bacilli*Bacillales*Alicyclobacillaceae*Tumebacillus*Tumebacillus permanentifrigoris",74,90,43,116,19,17
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Clostridium*Clostridium sp. enrichment culture clone 7-14",23,20,9,24,5,15
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae*Streptococcus*Streptococcus troglodytae",13,16,2,5,22,6
"Bacteria*Firmicutes*Bacilli*Bacillales*Thermoactinomycetaceae*Hazenella*Hazenella coriacea",31,152,20,54,12,43
"Bacteria*Firmicutes*Bacilli*Bacillales*Thermoactinomycetaceae*Thermoactinomyces*Thermoactinomyces daqus",48,30,22,72,21,32
"Bacteria*Firmicutes*Bacilli*Bacillales*Planococcaceae*Jeotgalibacillus*Jeotgalibacillus malaysiensis",9,132,14,48,36,8
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus sp. O199",32,109,96,96,8,2
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*NA*Paenibacillaceae bacterium JTherm",150,45,53,67,38,28
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Saccharibacillus*Saccharibacillus sp. O23",126,77,60,154,128,283
"Bacteria*Firmicutes*Clostridia*Clostridiales*Peptostreptococcaceae*Romboutsia*Romboutsia maritimum",110,71,44,155,41,39
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Ruminococcus*Ruminococcus sp. AM31-32",96,34,21,80,20,18
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Carnobacteriaceae*Atopobacter*Atopobacter sp. AH10",81,24,41,143,30,15
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus sp. 597",55,20,55,24,19,51
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus sp. 5J-6",52,17,17,19,6,13
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Bacillus*Bacillus lentus",46,30,19,40,13,53
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Hydrogenibacillus*Hydrogenibacillus schlegelii",39,20,41,66,12,23
"Bacteria*Firmicutes*Clostridia*Clostridiales*Peptococcaceae*Desulfotomaculum*Desulfotomaculum nigrificans",80,113,77,70,31,73
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Carnobacteriaceae*Dolosigranulum*Dolosigranulum pigrum",74,12,19,62,11,15
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus popilliae",32,41,31,72,34,19
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Aerococcaceae*Facklamia*Facklamia sourekii",48,106,21,76,30,38
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Carnobacteriaceae*Atopobacter*Atopobacter phocae",84,38,6,73,31,9
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus*Lactobacillus equi",68,68,123,162,48,83
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae*Streptococcus*Streptococcus devriesei",40,16,28,118,6,64
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus*Lactobacillus paracollinoides",56,5,15,53,32,57
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus methanolicus",135,118,339,512,22,187
"Bacteria*Firmicutes*Clostridia*Thermoanaerobacterales*Thermoanaerobacteraceae*Brockia*Brockia lithotrophica",45,33,25,44,23,36
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Candidatus Arthromitus*Candidatus Arthromitus sp. SFB-rat-Yit",62,51,124,127,15,20
"Bacteria*Firmicutes*Negativicutes*Acidaminococcales*Acidaminococcaceae*Acidaminococcus*Acidaminococcus sp. BV3L6",26,24,115,47,14,9
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Bacillus*Bacillus sp. FJAT-18019",15,9,15,35,8,6
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae*Streptococcus*Streptococcus pantholopis",51,67,23,46,18,21
"Bacteria*Firmicutes*Bacilli*Bacillales*Listeriaceae*Listeria*Listeria sp. PSOL-1",18,12,6,36,8,48
"Bacteria*Firmicutes*Clostridia*Thermoanaerobacterales*Thermoanaerobacteraceae*NA*Thermoanaerobacteraceae bacterium SP2",66,46,63,51,24,30
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Blautia*Blautia sp. AF26-2",51,77,30,73,48,9
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Ruminococcus*Ruminococcus sp. AM42-10AC",93,105,35,104,77,107
"Bacteria*Firmicutes*Tissierellia*Tissierellales*Peptoniphilaceae*Anaerococcus*Anaerococcus sp. WCA-380-WT-2B",54,97,59,370,23,26
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Saccharibacillus*Saccharibacillus sp. VR-M41",32,110,50,158,24,10
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiales Family XIII. Incertae Sedis*Mogibacterium*Mogibacterium timidum",57,54,95,70,15,33
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Halobacillus*Halobacillus litoralis",28,84,24,45,36,9
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Carnobacteriaceae*Isobaculum*Isobaculum melis",64,55,30,60,24,22
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Aneurinibacillus*Aneurinibacillus danicus",38,21,19,82,14,25
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Saccharibacillus*Saccharibacillus kuerlensis",86,31,64,39,28,103
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Brevibacillus*Brevibacillus massiliensis",94,84,41,41,13,62
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Melghiribacillus*Melghiribacillus thermohalophilus",12,64,49,92,12,5
